Latitude,Longitude,FSA
43.76720142,-79.30281137,M1R
43.77944751,-79.36360883,M2J
43.74548933,-79.61426959,M9W
43.75804177,-79.48962312,M3J
43.68839901,-79.41388214,M5P
43.71981315,-79.51377244,M3L
43.69593781,-79.32876583,M4J
43.69287088,-79.47012699,M6M
43.72046766,-79.43243959,M6A
43.70072856,-79.44823178,M6B
43.74631847,-79.58813937,M9V
43.65757081,-79.43855992,M6H
43.75296967,-79.25806375,M1P
43.68094519,-79.33485192,M4J
43.73097967,-79.59944377,M9V
43.69390738,-79.46925698,M6M
43.69048049,-79.55168317,M9R
43.69098199,-79.55004557,M9R
43.69917278,-79.53722246,M9P
43.69917278,-79.53722246,M9P
43.6624776,-79.38636525,M5S
43.72358251,-79.61991069,M9W
43.67486252,-79.5025471,M6N
43.6562872,-79.37956285,M5B
43.7684036,-79.18621381,M1E
43.73097967,-79.59944377,M9V
43.73097967,-79.59944377,M9V
43.67182579,-79.32397282,M4L
43.67182579,-79.32397282,M4L
43.63211611,-79.54469169,M9B
43.77991693,-79.29270279,M1T
43.68094519,-79.33485192,M4J
43.75634467,-79.48919513,M3J
43.68094519,-79.33485192,M4J
43.70323439,-79.34661502,M4H
43.63211611,-79.54469169,M9B
43.65950801,-79.44521042,M6H
43.6086547,-79.535569,M8W
43.66590821,-79.40746684,M5S
43.66204162,-79.44585102,M6H
43.6568225,-79.37563685,M5B
43.78971426,-79.14088966,M1C
43.63870949,-79.44620902,M6R
43.69390738,-79.46925698,M6M
43.76235459,-79.411156,M2N
43.66117016,-79.57656021,M9C
43.68659519,-79.49120768,M6M
43.68055163,-79.39097616,M5R
43.64176558,-79.39757863,M5V
43.76035969,-79.4124785,M2N
43.80050952,-79.29963561,M1T
43.6566319,-79.37652885,M5B
43.64685294,-79.5807755,M9C
43.75083049,-79.56337969,M9L
43.70948681,-79.27115679,M1L
43.75083049,-79.56337969,M9L
43.67652375,-79.34909149,M4K
43.79704806,-79.14915937,M1B
43.68607648,-79.54379878,M9R
43.63677612,-79.47526181,M6S
43.70519731,-79.27722858,M1L
43.67080371,-79.38419105,M4W
43.70395779,-79.41163043,M5N
43.69524737,-79.45229738,M6E
43.6580893,-79.38468974,M5G
43.65516971,-79.44625052,M6R
43.65324896,-79.51521289,M8X
43.66547833,-79.45240112,M6P
43.72712046,-79.57847557,M9W
43.65537219,-79.37386715,M5B
43.6592374,-79.38517395,M7A
43.65017289,-79.38970044,M5V
43.69696657,-79.44437009,M6E
43.68425094,-79.40308575,M4V
43.73997738,-79.22792007,M1M
43.73997738,-79.22792007,M1M
43.70015457,-79.51619245,M9N
43.6561193,-79.39916314,M5T
43.72712046,-79.57847557,M9W
43.79726969,-79.32551218,M1W
43.66353355,-79.3289868,M4L
43.67170774,-79.48707481,M6N
43.71072305,-79.49817064,M6L
43.75894499,-79.19748341,M1E
43.68744919,-79.49340318,M6M
43.6620254,-79.38336205,M4Y
43.74983876,-79.27147933,M1P
43.82194978,-79.2198485,M1X
43.72396115,-79.49411205,M3M
43.66325325,-79.3302047,M4M
43.63185947,-79.42553303,M6K
43.63265417,-79.41983793,M6K
43.77233239,-79.40318298,M2N
43.65313849,-79.38740534,M5G
43.63832699,-79.49432151,M8Y
